,NB_ADD_SAMPLES,NB_ALL_AUTO_SAMPLES,FRAC_ALL_AUTO_SAMPLES_IN_TRAINING,SCORE_ADD_SAMPLES,AVG_CONF_ADD_SAMPLES,SCORE_ALL_AUTO_SAMPLES,AVG_CONF_ALL_AUTO_SAMPLES,ITER
240,1.0,1631.0,0.367259626210313,0.0,1.0,0.4739423666462293,0.9999999999999997,238.0
241,1.0,1632.0,0.3665768194070081,0.0,1.0,0.4736519607843137,0.9999999999999997,239.0
242,1.0,1633.0,0.36589737844499215,0.0,1.0,0.4733619105939988,0.9999999999999997,240.0
243,2.0,1635.0,0.3653631284916201,0.0,1.0,0.472782874617737,0.9999999999999997,241.0
244,2.0,1637.0,0.3648317361265879,0.5,1.0,0.47281612706169823,0.9999999999999997,242.0
245,1.0,1638.0,0.36416184971098264,0.0,1.0,0.4725274725274725,0.9999999999999997,243.0
246,2.0,1640.0,0.36363636363636365,0.0,1.0,0.4719512195121951,0.9999999999999998,244.0
247,1.0,1641.0,0.36297279362972795,1.0,1.0,0.47227300426569163,0.9999999999999998,245.0
248,1.0,1642.0,0.3623124448367167,0.0,0.9999999999999718,0.47198538367844095,0.9999999999999998,246.0
249,3.0,1645.0,0.3619361936193619,0.0,1.0,0.47112462006079026,0.9999999999999998,247.0
250,1.0,1646.0,0.3612818261633011,0.0,1.0,0.47083839611178613,0.9999999999999998,248.0
251,1.0,1647.0,0.36063061090431353,0.0,0.9999999999999909,0.4705525197328476,0.9999999999999998,249.0
252,1.0,1648.0,0.3599825251201398,0.0,0.9999999999999862,0.4702669902912621,0.9999999999999998,250.0
253,1.0,1649.0,0.3593375463063848,0.0,0.999999999999988,0.469981807155852,0.9999999999999998,251.0
254,1.0,1650.0,0.358695652173913,0.0,1.0,0.4696969696969697,0.9999999999999998,252.0
255,1.0,1651.0,0.35805682064628064,0.0,1.0,0.46941247728649305,0.9999999999999998,253.0
256,1.0,1652.0,0.3574210298572047,0.0,1.0,0.46912832929782083,0.9999999999999998,254.0
257,1.0,1653.0,0.3567882581480682,0.0,1.0,0.4688445251058681,0.9999999999999998,255.0
258,1.0,1654.0,0.3561584840654608,0.0,1.0,0.46856106408706166,0.9999999999999998,256.0
259,1.0,1655.0,0.35553168635875404,0.0,1.0,0.46827794561933533,0.9999999999999998,257.0
260,1.0,1656.0,0.3549078439777111,0.0,1.0,0.46799516908212563,0.9999999999999998,258.0
261,1.0,1657.0,0.3542869360701304,0.0,1.0,0.4677127338563669,0.9999999999999996,259.0
262,1.0,1658.0,0.3536689419795222,0.0,0.999999999999972,0.4674306393244873,0.9999999999999994,260.0
263,1.0,1659.0,0.35305384124281763,0.0,1.0,0.46714888487040385,0.9999999999999994,261.0
264,1.0,1660.0,0.3524416135881104,0.0,1.0,0.46686746987951805,0.9999999999999994,262.0
265,1.0,1661.0,0.3518322389324296,0.0,1.0,0.46658639373871164,0.9999999999999994,263.0
266,1.0,1662.0,0.3512256973795435,0.0,1.0,0.46630565583634176,0.9999999999999994,264.0
267,1.0,1663.0,0.35062196921779465,0.0,1.0,0.4660252555622369,0.9999999999999994,265.0
268,1.0,1664.0,0.3500210349179638,0.0,1.0,0.4657451923076923,0.9999999999999996,266.0
269,1.0,1665.0,0.34942287513116477,0.0,1.0,0.46546546546546547,0.9999999999999996,267.0
270,1.0,1666.0,0.34882747068676717,0.0,1.0,0.4651860744297719,0.9999999999999996,268.0
271,1.0,1667.0,0.34823480259034884,0.0,1.0,0.46490701859628075,0.9999999999999996,269.0
272,1.0,1668.0,0.3476448520216757,0.0,1.0,0.4646282973621103,0.9999999999999994,270.0
273,1.0,1669.0,0.3470576003327095,0.0,1.0,0.46434991012582383,0.9999999999999994,271.0
274,3.0,1672.0,0.346744089589382,0.0,1.0,0.46351674641148327,0.9999999999999994,272.0
275,1.0,1673.0,0.3461618042623629,0.0,1.0,0.4632396891811118,0.9999999999999994,273.0
276,2.0,1675.0,0.3457172342621259,0.0,1.0,0.4626865671641791,0.9999999999999994,274.0
277,1.0,1676.0,0.34514003294892914,0.0,0.9999999999999785,0.46241050119331745,0.9999999999999994,275.0
278,1.0,1677.0,0.34456544072323814,0.0,1.0,0.46213476446034585,0.9999999999999994,276.0
279,4.0,1681.0,0.34439664003278014,0.0,1.0,0.46103509815585964,0.9999999999999994,277.0
280,3.0,1684.0,0.3440948099713935,0.0,1.0,0.46021377672209024,0.9999999999999994,278.0
281,2.0,1686.0,0.34366082348145127,0.0,1.0,0.4596678529062871,0.9999999999999994,279.0
282,1.0,1687.0,0.3430953833638397,0.0,1.0,0.4593953764078245,0.9999999999999994,280.0
283,1.0,1688.0,0.3425324675324675,0.0,1.0,0.4591232227488152,0.9999999999999994,281.0
284,1.0,1689.0,0.3419720591212796,0.0,1.0,0.45885139135583186,0.9999999999999994,282.0
285,1.0,1690.0,0.3414141414141414,0.0,1.0,0.45857988165680474,0.9999999999999994,283.0
286,3.0,1693.0,0.34112431996776144,0.0,1.0,0.45776727702303605,0.9999999999999994,284.0
287,7.0,1700.0,0.3413654618473896,0.0,1.0,0.45588235294117646,0.9999999999999996,285.0
288,3.0,1703.0,0.3410775085119167,0.0,1.0,0.455079271873165,0.9999999999999996,286.0
289,7.0,1710.0,0.3413173652694611,0.0,1.0,0.45321637426900585,0.9999999999999996,287.0
